metai;vardas;naujagimiu_sk;lytis;pirmavimas
2009;OLIVER ;7 364;Male;1
2009;JACK ;7 090;Male;2
2009;HARRY ;6 143;Male;3
2009;ALFIE ;5 536;Male;4
2009;JOSHUA ;5 526;Male;5
2009;THOMAS ;5 520;Male;6
2009;CHARLIE ;5 409;Male;7
2009;WILLIAM ;5 247;Male;8
2009;JAMES ;4 544;Male;9
2009;DANIEL ;4 444;Male;10
2009;GEORGE ;4 347;Male;11
2009;SAMUEL ;4 314;Male;12
2009;ETHAN ;3 729;Male;13
2009;JOSEPH ;3 613;Male;14
2009;BENJAMIN ;3 319;Male;15
2009;MOHAMMED ;3 300;Male;16
2009;LUCAS ;3 276;Male;17
2009;JACOB ;3 214;Male;18
2009;DYLAN ;3 201;Male;19
2009;ARCHIE ;3 069;Male;20
2009;LEWIS ;3 008;Male;21
2009;ALEXANDER ;2 981;Male;22
2009;OSCAR ;2 943;Male;23
2009;LIAM ;2 784;Male;24
2009;MAX ;2 762;Male;25
2009;JAYDEN ;2 667;Male;26
2009;JAKE ;2 456;Male;27
2009;CALLUM ;2 438;Male;28
2009;RILEY ;2 406;Male;29
2009;RYAN ;2 398;Male;30
2009;TYLER ;2 366;Male;31
2009;NOAH ;2 250;Male;32
2009;LUKE ;2 220;Male;33
2009;ADAM ;2 199;Male;34
2009;LOGAN ;2 196;Male;35
2009;MUHAMMAD ;2 162;Male;36
2009;HENRY ;2 143;Male;37
2009;MATTHEW ;2 122;Male;38
2009;HARVEY ;2 077;Male;39
2009;LEO ;2 011;Male;40
2009;ISAAC ;1 979;Male;41
2009;HARRISON ;1 951;Male;42
2009;FINLEY ;1 905;Male;43
2009;EDWARD ;1 795;Male;44
2009;MASON ;1 718;Male;45
2009;CONNOR ;1 670;Male;46
2009;OWEN ;1 630;Male;47
2009;JAMIE ;1 573;Male;48
2009;NATHAN ;1 573;Male;48
2009;ALEX ;1 478;Male;50
2009;MICHAEL ;1 385;Male;51
2009;CAMERON ;1 378;Male;52
2009;FREDDIE ;1 356;Male;53
2009;AARON ;1 354;Male;54
2009;THEO ;1 323;Male;55
2009;HARLEY ;1 290;Male;56
2009;TOBY ;1 284;Male;57
2009;CHARLES ;1 225;Male;58
2009;RHYS ;1 208;Male;59
2009;LEON ;1 155;Male;60
2009;FINLAY ;1 093;Male;61
2009;MOHAMMAD ;1 073;Male;62
2009;SEBASTIAN ;1 073;Male;62
2009;DAVID ;1 072;Male;64
2009;BEN ;1 069;Male;65
2009;LOUIS ;1 067;Male;66
2009;ZACHARY ;1 020;Male;67
2009;KAI ;1 012;Male;68
2009;ASHTON ;1 005;Male;69
2009;EVAN ;973;Male;70
2009;KIAN ;956;Male;71
2009;LUCA ;936;Male;72
2009;AIDEN ;900;Male;73
2009;KYLE ;892;Male;74
2009;GABRIEL ;886;Male;75
2009;REECE ;867;Male;76
2009;HAYDEN ;864;Male;77
2009;AIDAN ;858;Male;78
2009;REUBEN ;854;Male;79
2009;JOEL ;836;Male;80
2009;BAILEY ;822;Male;81
2009;BRANDON ;801;Male;82
2009;JOHN ;762;Male;83
2009;LOUIE ;757;Male;84
2009;ELLIS ;756;Male;85
2009;KIERAN ;752;Male;86
2009;ELLIOT ;738;Male;87
2009;SAM ;735;Male;88
2009;TAYLOR ;731;Male;89
2009;BRADLEY ;730;Male;90
2009;ROBERT ;719;Male;91
2009;JOE ;713;Male;92
2009;ARTHUR ;712;Male;93
2009;CHRISTOPHER ;651;Male;94
2009;EWAN ;636;Male;95
2009;FREDERICK ;635;Male;96
2009;MORGAN ;634;Male;97
2009;JUDE ;627;Male;98
2009;STANLEY ;627;Male;98
2009;AUSTIN ;626;Male;100
2009;BLAKE ;623;Male;101
2009;JAY ;620;Male;102
2009;BILLY ;617;Male;103
2009;BOBBY ;615;Male;104
2009;CALEB ;615;Male;104
2009;COREY ;610;Male;106
2009;KAYDEN ;573;Male;107
2009;SONNY ;560;Male;108
2009;CODY ;558;Male;109
2009;IBRAHIM ;557;Male;110
2009;DOMINIC ;547;Male;111
2009;ZAK ;516;Male;112
2009;MUHAMMED ;515;Male;113
2009;MCKENZIE ;512;Male;114
2009;OLLIE ;511;Male;115
2009;SETH ;507;Male;116
2009;NATHANIEL ;498;Male;117
2009;ZAC ;496;Male;118
2009;TRISTAN ;495;Male;119
2009;PATRICK ;493;Male;120
2009;FRANKIE ;486;Male;121
2009;FELIX ;485;Male;122
2009;JAKUB ;483;Male;123
2009;MARLEY ;481;Male;124
2009;DEXTER ;476;Male;125
2009;FINN ;471;Male;126
2009;JONATHAN ;468;Male;127
2009;ALI ;457;Male;128
2009;ANDREW ;455;Male;129
2009;NICHOLAS ;454;Male;130
2009;RONNIE ;453;Male;131
2009;SEAN ;448;Male;132
2009;PETER ;443;Male;133
2009;ELLIOTT ;437;Male;134
2009;YUSUF ;437;Male;134
2009;DECLAN ;436;Male;136
2009;TOMMY ;434;Male;137
2009;THEODORE ;433;Male;138
2009;ANTHONY ;428;Male;139
2009;COLE ;419;Male;140
2009;ELIJAH ;419;Male;140
2009;RORY ;418;Male;142
2009;JENSON ;417;Male;143
2009;MAXWELL ;409;Male;144
2009;JASON ;406;Male;145
2009;ALFRED ;391;Male;146
2009;LEVI ;390;Male;147
2009;JORDAN ;389;Male;148
2009;AYAAN ;388;Male;149
2009;MOHAMED ;387;Male;150
2009;TOM ;372;Male;151
2009;ZACK ;371;Male;152
2009;MARCUS ;368;Male;153
2009;ASHLEY ;367;Male;154
2009;KENZIE ;357;Male;155
2009;ROWAN ;357;Male;155
2009;RIO ;352;Male;157
2009;TOBIAS ;352;Male;157
2009;HAMZA ;351;Male;159
2009;ALBERT ;348;Male;160
2009;JOSH ;348;Male;160
2009;AHMED ;344;Male;162
2009;SYED ;342;Male;163
2009;HUGO ;339;Male;164
2009;CHRISTIAN ;336;Male;165
2009;ZAIN ;336;Male;165
2009;FILIP ;323;Male;167
2009;KACPER ;318;Male;168
2009;ABDUL ;316;Male;169
2009;ABDULLAH ;315;Male;170
2009;ROMAN ;315;Male;170
2009;RUBEN ;313;Male;172
2009;KAIDEN ;311;Male;173
2009;OSKAR ;310;Male;174
2009;MILO ;307;Male;175
2009;DANNY ;305;Male;176
2009;SPENCER ;302;Male;177
2009;BEAU ;295;Male;178
2009;LAYTON ;291;Male;179
2009;JASPER ;289;Male;180
2009;LENNON ;289;Male;180
2009;MAXIMILIAN ;289;Male;180
2009;LEIGHTON ;285;Male;183
2009;KEVIN ;284;Male;184
2009;MARK ;284;Male;184
2009;SHAY ;284;Male;184
2009;ASTON ;279;Male;187
2009;JACKSON ;272;Male;188
2009;MACKENZIE ;272;Male;188
2009;ADRIAN ;262;Male;190
2009;EUAN ;257;Male;191
2009;EMMANUEL ;255;Male;192
2009;ALAN ;253;Male;193
2009;JUSTIN ;251;Male;194
2009;ZACH ;247;Male;195
2009;VINCENT ;245;Male;196
2009;MILES ;243;Male;197
2009;FRASER ;241;Male;198
2009;JAIDEN ;241;Male;198
2009;ROHAN ;241;Male;198
2009;SCOTT ;241;Male;198
2009;LUKAS ;240;Male;202
2009;XAVIER ;240;Male;202
2009;KYE ;238;Male;204
2009;JADEN ;231;Male;205
2009;HASSAN ;229;Male;206
2009;CARTER ;228;Male;207
2009;JESSE ;225;Male;208
2009;RICHARD ;222;Male;209
2009;STEPHEN ;220;Male;210
2009;TEDDY ;217;Male;211
2009;JONAH ;215;Male;212
2009;RAYAN ;215;Male;212
2009;ARYAN ;212;Male;214
2009;PAUL ;211;Male;215
2009;FLYNN ;208;Male;216
2009;REGGIE ;208;Male;216
2009;DOMINIK ;207;Male;218
2009;MALACHI ;207;Male;218
2009;MUSTAFA ;207;Male;218
2009;MATEUSZ ;205;Male;221
2009;RAPHAEL ;204;Male;222
2009;MITCHELL ;201;Male;223
2009;STEVEN ;200;Male;224
2009;CALUM ;199;Male;225
2009;LEE ;199;Male;225
2009;WARREN ;199;Male;225
2009;FREDDY ;197;Male;228
2009;KADEN ;197;Male;228
2009;WILL ;197;Male;228
2009;MYLES ;196;Male;231
2009;SHAUN ;196;Male;231
2009;ISMAIL ;195;Male;233
2009;OMAR ;195;Male;233
2009;CIAN ;193;Male;235
2009;SHANE ;193;Male;235
2009;CAYDEN ;190;Male;237
2009;CIARAN ;186;Male;238
2009;CONOR ;185;Male;239
2009;LINCOLN ;185;Male;239
2009;RYLEY ;185;Male;239
2009;SIDNEY ;183;Male;242
2009;BROOKLYN ;182;Male;243
2009;RAFAEL ;180;Male;244
2009;JENSEN ;179;Male;245
2009;KANE ;179;Male;245
2009;BARNABY ;178;Male;247
2009;MUSA ;178;Male;247
2009;SZYMON ;178;Male;247
2009;TROY ;177;Male;250
2009;CADEN ;176;Male;251
2009;REGAN ;176;Male;251
2009;ROCCO ;176;Male;251
2009;RUFUS ;175;Male;254
2009;VICTOR ;175;Male;254
2009;FLETCHER ;174;Male;256
2009;CURTIS ;173;Male;257
2009;MARTIN ;173;Male;257
2009;DILLON ;172;Male;259
2009;FRANK ;172;Male;259
2009;TRAVIS ;171;Male;261
2009;UMAR ;171;Male;261
2009;PRESTON ;170;Male;263
2009;SAMI ;170;Male;263
2009;JAYDON ;169;Male;265
2009;NICOLAS ;167;Male;266
